No,Tanggal Putusan,Tahun,Nama Debitur,Area,PN,Sektor,Tbk,Value,Disclosed,K Separatis,K Preferen,K Konkuren,
1,23/02/2026,2026,PT. Sarana Inti Selaras,Investment company,Jakarta Pusat,Keuangan,Bukan Tbk,###########,Disclosed,,,Rp430.707.467.290,
2,28/01/2026,2026,PT. Sri Makmur Vaname,Ternak Udang,Jakarta Pusat,Bahan baku,Bukan Tbk,###########,Disclosed,,,Rp1.004.624.000,
3,12/02/2026,2026,PT. MITRA JAYA SAKTI SENTOSA,Tekstil,Jakarta Pusat,Bahan baku,Bukan Tbk,###########,Disclosed,Rp228.409.291.389,,Rp220.701.727.456,
4,14/01/2026,2026,PT Anugerah Prakarsa Niaga Sakti,Konsultan Strategi pemasaran,Jakarta Pusat,Konsumen non primer,Bukan Tbk,-,Undisclosed,,,,
6,23/02/2026,2026,PT Cemerlang Asa Mandiri,Pertambangan Batubara,Jakarta Pusat,Energi,Bukan Tbk,###########,Disclosed,,,Rp15.141.729.649,
7,02/03/2026,2026,PT Trimata Benua,Pertambangan Batubara,Jakarta Pusat,Energi,Bukan Tbk,###########,Disclosed,,,Rp1.299.965.029.465,
8,04/03/2026,2026,PT Wijaya Karya Pracetak Gedung,Konstruksi pracetak gedung,Jakarta Pusat,Infrastruktur,Bukan Tbk,###########,Disclosed,Rp1.259.543.000,,,
10,02/02/2026,2026,PT Bena Kutai,Hotel,Surabaya,Konsumen non primer,Bukan Tbk,###########,Undisclosed,,,,
11,18/02/2026,2026,PT Mam Energindo,Kontraktor Kontruksi (infrastruktur dll),Jakarta Pusat,Infrastruktur,Bukan Tbk,###########,Disclosed,Rp2.652.333.509,,Rp18.832.209.534,
13,12/02/2026,2026,PT Sipoa,Pengembang properti,Surabaya,Properti & real estate,Bukan Tbk,###########,Disclosed,Rp8.560.390.800,,,
14,05/03/2026,2026,PT Welmy Pratama Indah,Pengembangan dan pengelolaan pusat perbelanjaan (mall),Makassar,Properti & real estate,Bukan Tbk,###########,Disclosed,,,Rp642.195.302,
15,28/01/2026,2026,PT Arta Samudera Traktor,Perusahaan alat berat (traktor),Medan,Infrastruktur,Bukan Tbk,-,Undisclosed,,,,
16,18/02/2026,2026,PT Binakarya Citra Lestari,Pengembang properti,Surabaya,Properti & real estate,Bukan Tbk,-,Undisclosed,,,,
17,2/2/2026,2026,PT Adhi Karya (Persero) Tbk,konstruksi dan pembangunan infrastruktur,Jakarta Pusat,Infrastruktur,Tbk,-,Undisclosed,,,,
19,2/26/2026,2026,PT Atthaya Kemi Mandiri,Distributor pupuk,Jakarta Pusat,Bahan baku,Bukan Tbk,-,Undisclosed,,,,
20,2/2/2026,2026,PT Wijaya Karya Industri & Kontruksi,konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,###########,Disclosed,Rp9.280.624.457,,,
21,2/24/2026,2026,PT Mitramas Makmur Perkasa,Pengemasan Minyak Goreng,Jakarta Pusat,Konsumen non primer,Bukan Tbk,###########,Disclosed,Rp2.639.958.326,,Rp6.180.299.011,
22,2/23/2026,2026,Yayasan Kartika (Rumah Sakit Kartika Pulomas),Rumah sakit,Jakarta Pusat,Kesehatan,Bukan Tbk,###########,Disclosed,Rp9.688.538.989,,,
23,1/29/2026,2026,PT Duta Irindo,kontraktor konstruksi,Makassar,Infrastruktur,Bukan Tbk,###########,Disclosed,Rp51.884.259.278,,,
25,2/12/2026,2026,PT Asia Petrocom services,jasa pengeboran minyak dan gas,Jakarta Pusat,Energi,Bukan Tbk,###########,Disclosed,Rp361.685.863.369,,Rp395.603.575.531,
26,1/26/2026,2026,PT Inhil Sari Mas Kelapa,pengolahan kelapa,Medan,Bahan baku,Bukan Tbk,###########,Disclosed,Rp1.500.000.000,,,
28,1/20/2026,2026,PT Sawit Khatulistiwa Plantation,perusahaan perkebunan sawit,Surabaya,Bahan baku,Bukan Tbk,-,Undisclosed,,,,
29,2/9/2026,2026,PT Tjakra Multi Strategi,pengembang properti,Surabaya,Properti & real estate,Bukan Tbk,,Disclosed,Rp7.417.864.798,,,
30,2/12/2026,2026,PT Sentra Niaga Persada,perdagangan/ritel peralatan rumah tangga,Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Undisclosed,,,,
31,2/23/2026,2026,PT Brantas Abipraya,Konstruksi dan Infrastruktur,Jakarta Pusat,Infrastruktur,Bukan Tbk,-,Undisclosed,,,,
32,2/23/2026,2026,PT Aiho Indah (dulu Radisson Hotel medan),Hotel,Medan,Konsumen non primer,Bukan Tbk,,Disclosed,Rp1.096.359.568,,,
33,3/5/2026,2026,PT Triyasa Nagamas Farma,farmasi,Jakarta Pusat,Kesehatan,Bukan Tbk,###########,Disclosed,Rp66.953.694.660,Rp4.801.088.590,Rp35.670.817.500,
34,2/11/2026,2026,PT Wijaya Karya (persero) Tbk,Konstruksi dan Infrastruktur,Jakarta Pusat,Infrastruktur,Tbk,-,Undisclosed,,,,
35,4/1/2026,2026,CV Guna Usaha Sukses,Supplier snack,Surabaya,Konsumen non primer,Bukan Tbk,-,Undisclosed,,,,
36,2/24/2026,2026,PT Hengsheng New Energy Material Indonesia,Industri Nikel,Makassar,Bahan baku,Bukan Tbk,-,Undisclosed,,,,
37,2/6/2026,2026,PT Armindo Galvanizing Industry,Hot Dip Galvanizing dan Steel Structure.,Jakarta Pusat,Bahan baku,Bukan Tbk,###########,Disclosed,,,Rp9.165.914.207,(tidak ada yang setuju)
38,2/26/2026,2026,PT Tamindo Permai Glass,industri pengolahan kaca,Jakarta Pusat,Bahan baku,Bukan Tbk,,Disclosed,Rp105.407.285.879,Rp1.986.084.133,Rp6.907.939.885,
39,2/12/2026,2026,UD. Metro Tani,pertanian/pupuk,Surabaya,Bahan baku,Bukan Tbk,,Disclosed,Rp660.251.443,,,
40,1/5/2026,2026,"PT Asia Pasific Fibers, Tbk",produsen dan penjual poliester,Jakarta Pusat,Bahan baku,Tbk,,Undisclosed,,,,
41,1/15/2026,2026,PT Hexa Prima Energy,perusahaan jasa teknis dan perdagangan industri/energi,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
42,3/9/2026,2026,PT Lisiang Multi Kimiatama,industri dan distribusi bahan kimia untuk tekstil,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
43,1/20/2026,2026,PT Konten Indomedia Pratama,media/teknologi informasi,Jakarta Pusat,Teknologi,Bukan Tbk,,Disclosed,,,Rp3.146.059.736,
44,2/13/2026,2026,PT Duta Makmur Sejahtera,holding di sektor keuangan,Jakarta Pusat,Keuangan,Bukan Tbk,,Undisclosed,Rp0,Rp0,Rp0,
45,1/29/2026,2026,PT Indofuji Energi,Kontraktor Konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
47,3/5/2026,2026,CV Segoro Kidul,perdagangan umum & jasa distribusi,Surabaya,Transportasi,Bukan Tbk,,Disclosed,Rp2.000.000.000,,,
48,2/27/2026,2026,PT Kutilang Paksi Mas,energi dan perdagangan bahan baka,Jakarta Pusat,Energi,Bukan Tbk,,Disclosed,Rp351.922.904.404,,Rp886.881.573.929,
50,2/9/2026,2026,PT Pasir Tengah,Peternakan Sapi,Jakarta Pusat,Bahan baku,Bukan Tbk,###########,Disclosed,Rp595.589.751.739,Rp22.147.856.235,Rp335.046.039.127,
51,2/13/2026,2026,PT Indonesia Transportindo Logistik,Jasa pengiriman barang,Jakarta Pusat,Transportasi,Bukan Tbk,-,Undisclosed,,,,
52,7/7/2025,2025,PT. PERUSAHAAN PERSEROAN DAERAH PERKEBUNAN SUMATERA UTARA,,Medan,Bahan baku,Bukan Tbk,###########,Undisclosed,,,,
53,6/18/2025,2025,PT Waskita Karya (Persero) Tbk,Konstruksi industri dan manufaktur,Jakarta Pusat,Infrastruktur,Bukan Tbk,###########,Undisclosed,,,,
54,9/18/2025,2025,PT. Intan Mas Indo Logam,Bidang produksi dan pengelolaan Pipa Besi.,Medan,Bahan baku,Bukan Tbk,,Undisclosed,,,,
55,5/19/2025,2025,PT SUMBER PRIMA ANUGRAH ABADI,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,,,Rp268.231.400,
56,8/21/2025,2025,PT. SINTRA SINARINDO ELEKTRIK,Manufaktur trafo daya dan distribusi listrik,Jakarta Pusat,Perindustrian,Bukan Tbk,###########,Disclosed,,Rp339.711.494,Rp4.250.057.964,
57,10/27/2025,2025,CV. MINA CERIA NUSANTARA,Pengolahan dan distribusi hasil perikanan,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
58,8/27/2025,2025,PT FARRAH ATHAILALAH LESTARI,Properti dan pengembangan kawasan,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,,
59,1/16/2025,2025,PT TJOKRO VARIA INDUSTRI,Manufaktur komponen industri,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
60,6/13/2025,2025,PT STC Indonesia,Konsultasi perdagangan berkelanjutan dan agribisnis,Surabaya,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
61,6/19/2025,2025,PT. SINERGI USAHA MAKMUR,Perdagangan umum dan jasa,Makassar,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
62,8/25/2025,2025,PT.MARISO INDOLAND MAKASSAR,Pengembang Properti & real estate,Makassar,Properti & real estate,Bukan Tbk,,Undisclosed,,,,
63,7/25/2025,2025,PT. Nusantara Graha Utama,Pengembang Properti & real estate,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,,
64,1/22/2025,2025,PT. Hutama Sentra Sejahtera,Properti dan konstruksi,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Disclosed,Rp1.499.704.665,,Rp1.500.000.000,
65,2/12/2025,2025,PT KOBEXINDO CEMENT,Manufaktur dan produksi semen,Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,,
66,11/21/2025,2025,PT Bumi Arta Sedayu,Pengembang Properti & real estate,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Disclosed,Rp74.357.992.345,,Rp550.098.215.646,
